"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 10 12:15:22 UTC 2024","Wed Jan 10 12:15:23 UTC 2024","1129","tests","test_api","TestApi","","","Change data of a pet with invalid id",""
"failed","Wed Jan 10 12:15:21 UTC 2024","Wed Jan 10 12:15:22 UTC 2024","1157","tests","test_api","TestApi","","","Change data of non existent pet",""
"passed","Wed Jan 10 12:15:23 UTC 2024","Wed Jan 10 12:15:25 UTC 2024","1138","tests","test_api","TestApi","","","Find pet by the 'Sold' status",""
"passed","Wed Jan 10 12:15:15 UTC 2024","Wed Jan 10 12:15:17 UTC 2024","1233","tests","test_api","TestApi","","","Add a new pet to the store in a valid way",""
"passed","Wed Jan 10 12:15:27 UTC 2024","Wed Jan 10 12:15:28 UTC 2024","1135","tests","test_api","TestApi","","","Delete pet once again",""
"failed","Wed Jan 10 12:15:17 UTC 2024","Wed Jan 10 12:15:18 UTC 2024","1109","tests","test_api","TestApi","","","Add a new pet to the store without data",""
"failed","Wed Jan 10 12:15:19 UTC 2024","Wed Jan 10 12:15:20 UTC 2024","1146","tests","test_api","TestApi","","","Change pet status to 'sold'",""
"failed","Wed Jan 10 12:15:18 UTC 2024","Wed Jan 10 12:15:19 UTC 2024","1119","tests","test_api","TestApi","","","Add a new pet to the store without body",""
"passed","Wed Jan 10 12:15:26 UTC 2024","Wed Jan 10 12:15:27 UTC 2024","1137","tests","test_api","TestApi","","","Delete pet",""
"failed","Wed Jan 10 12:15:28 UTC 2024","Wed Jan 10 12:15:29 UTC 2024","1131","tests","test_api","TestApi","","","Delete pet with invalid id",""
"passed","Wed Jan 10 12:15:20 UTC 2024","Wed Jan 10 12:15:21 UTC 2024","1133","tests","test_api","TestApi","","","Change pet status to 'lost'",""
"failed","Wed Jan 10 12:15:25 UTC 2024","Wed Jan 10 12:15:26 UTC 2024","1145","tests","test_api","TestApi","","","Find pet by the 'Lost' status",""
